,A,P,C,LK,WK,AC,L,Ui0,Ui1,Ui2,Cluster Sandard,Cluster Test,Cluster FCM
14,13.74,14.05,0.8744,5.482,3.114,2.932,4.825,0.12692924233701292,0.8447007374611789,0.028370020201808125,1,2.0,1
15,14.59,14.28,0.8993,5.351,3.333,4.185,4.781000000000001,0.20349193864154527,0.7229026236075554,0.07360543775089924,1,2.0,1
16,13.99,13.83,0.9183,5.119,3.383,5.234,4.781000000000001,0.5408224143784358,0.3767495266332191,0.08242805898834515,1,1.0,3
17,15.69,14.75,0.9058,5.527,3.514,1.599,5.046,0.07625834001318334,0.8029590715537106,0.12078258843310603,1,2.0,1
18,14.7,14.21,0.9153,5.205,3.466,1.767,4.649,0.06644550251074702,0.8890589731622695,0.044495524326983595,1,2.0,1
19,12.72,13.57,0.8686,5.226,3.049,4.102,4.914,0.826880057751886,0.15199820678292028,0.021121735465193737,1,1.0,3
20,14.16,14.4,0.8584,5.6579999999999995,3.1289999999999996,3.072,5.176,0.03840930918577292,0.9479818474042726,0.013608843409954385,1,2.0,1
21,14.11,14.26,0.8722,5.52,3.168,2.688,5.218999999999999,0.026949761351497677,0.9632283580703263,0.009821880578176087,1,2.0,1
22,15.88,14.9,0.8988,5.617999999999999,3.5069999999999997,0.7651,5.091,0.11095087224442295,0.6863077920720898,0.20274133568348723,1,2.0,1
23,12.08,13.23,0.8664,5.099,2.9360000000000004,1.415,4.961,0.4341728768799982,0.487996787370386,0.0778303357496158,1,2.0,1
24,15.01,14.76,0.8657,5.789,3.245,1.791,5.001,0.049828216262330985,0.9000929584900477,0.05007882524762126,1,2.0,1
25,16.19,15.16,0.8849,5.832999999999999,3.4210000000000003,0.903,5.307,0.10760202966982235,0.6314917150434944,0.26090625528668315,1,2.0,1
26,13.02,13.76,0.8641,5.395,3.0260000000000002,3.373,4.825,0.49506862400231033,0.4646622482375473,0.040269127760142284,1,1.0,3
27,12.74,13.67,0.8564,5.395,2.9560000000000004,2.504,4.869,0.40235122681421154,0.5472853856003631,0.050363387585425266,1,2.0,1
28,14.11,14.18,0.882,5.541,3.221,2.7539999999999996,5.038,0.0325627471513637,0.9562097755188007,0.011227477329835645,1,2.0,1
29,13.45,14.02,0.8604,5.516,3.065,3.531,5.0969999999999995,0.32233952894718415,0.6366352852659526,0.04102518578686318,1,2.0,1
30,13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,0.23700629288609984,0.6770140692920503,0.08597963782184968,1,2.0,1
31,15.49,14.94,0.8724,5.757000000000001,3.3710000000000004,3.412,5.228,0.07535792177308455,0.8249848014915555,0.09965727673535986,1,2.0,1
32,14.09,14.41,0.8529,5.7170000000000005,3.1860000000000004,3.92,5.2989999999999995,0.19551500557595564,0.7524360647649839,0.05204892965906036,1,2.0,1
33,13.94,14.17,0.8728,5.585,3.15,2.124,5.012,0.06582629419656001,0.9092255842988507,0.02494812150458934,1,2.0,1
34,15.05,14.68,0.8779,5.712000000000001,3.3280000000000003,2.129,5.36,0.030915414048142527,0.9381323987403091,0.030952187211548448,1,2.0,1
35,16.12,15.0,0.9,5.709,3.485,2.27,5.443,0.0775760689754666,0.724888391712775,0.1975355393117584,1,2.0,1
36,16.2,15.27,0.8734,5.8260000000000005,3.464,2.823,5.527,0.08450891428326468,0.6482376581476955,0.2672534275690397,1,2.0,1
37,17.08,15.38,0.9079,5.832000000000001,3.6830000000000003,2.9560000000000004,5.484,0.07238488535708594,0.34445755481995954,0.5831575598229545,1,3.0,2
38,14.8,14.52,0.8823,5.656000000000001,3.2880000000000003,3.112,5.309,0.019408315399441368,0.9680504721921284,0.01254121240843025,1,2.0,1
39,14.28,14.17,0.8944,5.397,3.298,6.685,5.001,0.5168782536316902,0.3349749368344992,0.14814680953381057,1,1.0,3
40,13.54,13.85,0.8871,5.348,3.156,2.5869999999999997,5.178,0.16092471199404929,0.8046989795420448,0.034376308463905894,1,2.0,1
41,13.5,13.85,0.8852,5.351,3.158,2.249,5.176,0.15852191739392163,0.8025302305837261,0.03894785202235229,1,2.0,1
42,13.16,13.55,0.9009,5.138,3.201,2.461,4.783,0.30195594196218406,0.6490509583636302,0.04899309967418569,1,2.0,1
43,15.5,14.86,0.882,5.877000000000001,3.3960000000000004,4.711,5.528,0.19356855962523092,0.5908312216702443,0.21560021870452487,1,2.0,1
44,15.11,14.54,0.8986,5.579,3.4619999999999997,3.128,5.18,0.032061863806932246,0.9410273796170325,0.02691075657603524,1,2.0,1
45,13.8,14.04,0.8794,5.376,3.155,1.56,4.961,0.1242847426010152,0.8258291163609619,0.04988614103802292,1,2.0,1
46,15.36,14.76,0.8861,5.7010000000000005,3.3930000000000002,1.367,5.132000000000001,0.07768007199152101,0.8197616052616715,0.10255832274680761,1,2.0,1
47,14.99,14.56,0.8883,5.57,3.377,2.958,5.175,0.016913924726895412,0.9698880472996203,0.013198027973484247,1,2.0,1
48,14.79,14.52,0.8819,5.545,3.2910000000000004,2.7039999999999997,5.111000000000001,0.0034533955756468468,0.9942107502330053,0.0023358541913476847,1,2.0,1
49,14.86,14.67,0.8676,5.678,3.258,2.129,5.351,0.025354588121719257,0.952781752486513,0.02186365939176764,1,2.0,1
50,14.43,14.4,0.8751,5.585,3.272,3.975,5.144,0.157788998971682,0.7863282604588206,0.05588274056949728,1,2.0,1
51,15.78,14.91,0.8923,5.6739999999999995,3.4339999999999997,5.593,5.136,0.24837218181176346,0.4650288491656394,0.286598969022597,1,2.0,1
52,14.49,14.61,0.8538,5.715,3.113,4.1160000000000005,5.396,0.17841510900608246,0.7484479342513564,0.07313695674256125,1,2.0,1
53,14.33,14.28,0.8831,5.504,3.199,3.3280000000000003,5.224,0.05376567731679643,0.92692772865739,0.019306594025813605,1,2.0,1
54,14.52,14.6,0.8557,5.7410000000000005,3.113,1.4809999999999999,5.487,0.07274596511934805,0.8719878937052327,0.05526614117541934,1,2.0,1
55,15.03,14.77,0.8658,5.702000000000001,3.2119999999999997,1.933,5.439,0.042937261467769695,0.9125591813837522,0.04450355714847806,1,2.0,1
56,14.46,14.35,0.8818,5.388,3.377,2.802,5.044,0.008376475321929477,0.9876448723610219,0.003978652317048542,1,2.0,1
57,14.92,14.43,0.9006,5.3839999999999995,3.412,1.1420000000000001,5.088,0.08913351013245738,0.8282730665316982,0.08259342333584453,1,2.0,1
58,15.38,14.77,0.8857,5.662000000000001,3.4189999999999996,1.999,5.222,0.04885283093689806,0.8873820139465861,0.06376515511651586,1,2.0,1
59,12.11,13.47,0.8392,5.159,3.032,1.5019999999999998,4.519,0.4242684561014325,0.49939357858127437,0.0763379653172933,1,2.0,1
60,11.42,12.86,0.8683,5.008,2.85,2.7,4.607,0.7023482678618569,0.25014353286144037,0.04750819927670275,1,1.0,3
61,11.23,12.63,0.884,4.902,2.8789999999999996,2.269,4.703,0.6444803537965879,0.29486924943004517,0.060650396773367,1,1.0,3
62,12.36,13.19,0.8923,5.0760000000000005,3.042,3.22,4.605,0.7043583482596096,0.2600005369212538,0.03564111481913659,1,1.0,3
63,13.22,13.84,0.868,5.395,3.07,4.157,5.088,0.6242238705689565,0.33697764946634406,0.038798479964699484,1,1.0,3
64,12.78,13.57,0.8716,5.2620000000000005,3.0260000000000002,1.176,4.782,0.30279354755294097,0.6176236788062651,0.07958277364079383,1,2.0,1
65,12.88,13.5,0.8879,5.138999999999999,3.1189999999999998,2.352,4.607,0.37103604434002146,0.5746461205655159,0.054317835094462565,1,2.0,1
66,14.34,14.37,0.8726,5.63,3.19,1.3130000000000002,5.15,0.08818257829272248,0.8547694627224107,0.05704795898486691,1,2.0,1
67,14.01,14.29,0.8625,5.609,3.158,2.217,5.132000000000001,0.04714832785913898,0.9338667456007936,0.018984926540067244,1,2.0,1
68,14.37,14.39,0.8726,5.569,3.153,1.464,5.3,0.07563997891692725,0.8757623083585704,0.04859771272450243,1,2.0,1
69,12.73,13.75,0.8458,5.412000000000001,2.8819999999999997,3.533,5.067,0.652128298759989,0.31394088334486375,0.033930817895147236,1,1.0,3
70,17.63,15.98,0.8673,6.191,3.5610000000000004,4.0760000000000005,6.06,0.03492563230709793,0.10125673497721642,0.8638176327156857,2,3.0,2
71,16.84,15.67,0.8623,5.997999999999999,3.484,4.675,5.877000000000001,0.1055727757467015,0.29740078068917003,0.5970264435641285,2,3.0,2
72,17.26,15.73,0.8763,5.978,3.594,4.539,5.791,0.07481969435536868,0.21125022025779694,0.7139300853868343,2,3.0,2
73,19.11,16.26,0.9081,6.154,3.93,2.9360000000000004,6.079,0.006990118625365968,0.018467498760044047,0.97454238261459,2,3.0,2
74,16.82,15.51,0.8786,6.017,3.486,4.004,5.841,0.08919196640451961,0.32646455471755165,0.5843434788779287,2,3.0,2
75,16.77,15.62,0.8638,5.9270000000000005,3.438,4.92,5.795,0.1222228302207508,0.3195891567122091,0.5581880130670401,2,3.0,2
76,17.32,15.91,0.8599,6.064,3.403,3.824,5.922000000000001,0.04983968630608615,0.16486963096090818,0.7852906827330057,2,3.0,2
77,20.71,17.23,0.8763,6.579,3.8139999999999996,4.4510000000000005,6.4510000000000005,0.051535378265292864,0.09835612661938835,0.8501084951153187,2,3.0,2
78,18.94,16.49,0.875,6.445,3.639,5.064,6.362,0.03772817720026554,0.07727428705537681,0.8849975357443577,2,3.0,2
79,17.12,15.55,0.8892,5.85,3.5660000000000003,2.858,5.746,0.06598003673071624,0.3016506535157285,0.6323693097535552,2,3.0,2
80,16.53,15.34,0.8823,5.875,3.467,5.532,5.88,0.1728704077045404,0.36017550463093906,0.46695408766452057,2,3.0,2
81,18.72,16.19,0.8977,6.006,3.8569999999999998,5.324,5.879,0.05125320212207225,0.10498552069240077,0.8437612771855268,2,3.0,2
82,20.2,16.89,0.8894,6.285,3.864,5.172999999999999,6.187,0.053011196300020595,0.09947899672662604,0.8475098069733533,2,3.0,2
83,19.57,16.74,0.8779,6.3839999999999995,3.772,1.472,6.273,0.04872725515708191,0.1229656376741376,0.8283071071687804,2,3.0,2
84,19.51,16.71,0.878,6.3660000000000005,3.801,2.9619999999999997,6.185,0.013315973874216394,0.03234577336104077,0.9543382527647428,2,3.0,2
85,18.27,16.09,0.887,6.172999999999999,3.6510000000000002,2.443,6.197,0.022279202635710763,0.07038933166032504,0.9073314657039643,2,3.0,2
86,18.88,16.26,0.8969,6.084,3.764,1.649,6.109,0.041188291550425284,0.11881616622797705,0.8399955422215977,2,3.0,2
87,18.98,16.66,0.8590000000000001,6.5489999999999995,3.67,3.6910000000000003,6.497999999999999,0.00761216018187959,0.018165682354234658,0.9742221574638859,2,3.0,2
88,21.18,17.21,0.8989,6.5729999999999995,4.033,5.78,6.231,0.08749309605452976,0.1479590177853192,0.7645478861601511,2,3.0,2
89,20.88,17.05,0.9031,6.45,4.032,5.016,6.321000000000001,0.06338222798528187,0.11559106556383857,0.8210267064508796,2,3.0,2
90,20.1,16.99,0.8746,6.581,3.785,1.955,6.449,0.04499307038022556,0.10408795482227849,0.850918974797496,2,3.0,2
91,18.76,16.2,0.8984,6.172000000000001,3.7960000000000003,3.12,6.053,0.0024655234061735686,0.006799331533631008,0.9907351450601953,2,3.0,2
92,18.81,16.29,0.8906,6.272,3.693,3.237,6.053,0.001137540019109528,0.0030580125301929825,0.9958044474506975,2,3.0,2
93,18.59,16.05,0.9066,6.037000000000001,3.86,6.001,5.877000000000001,0.08705142104562819,0.16004813494646528,0.7529004440079066,2,3.0,2
94,18.36,16.52,0.8452,6.666,3.485,4.933,6.4479999999999995,0.04157296053810887,0.08884670257181161,0.8695803368900795,2,3.0,2
95,16.87,15.65,0.8648,6.138999999999999,3.463,3.696,5.9670000000000005,0.0769712238325256,0.2959083816928286,0.6271203944746458,2,3.0,2
96,19.31,16.59,0.8815,6.341,3.81,3.477,6.2379999999999995,0.006215983209162265,0.014920553270685168,0.9788634635201525,2,3.0,2
97,18.98,16.57,0.8687,6.449,3.552,2.144,6.452999999999999,0.02718914284809423,0.07308997573664601,0.8997208814152597,2,3.0,2
98,18.17,16.26,0.8637,6.271,3.512,2.853,6.273,0.014272266632961252,0.043537194063590676,0.9421905393034481,2,3.0,2
99,18.72,16.34,0.8809999999999999,6.218999999999999,3.6839999999999997,2.188,6.097,0.02359437191780977,0.06864232739008091,0.9077633006921094,2,3.0,2
100,16.41,15.25,0.8866,5.718,3.525,4.217,5.617999999999999,0.12197133956741281,0.47065312513708674,0.4073755352955004,2,2.0,1
101,17.99,15.86,0.8992,5.89,3.694,2.068,5.837000000000001,0.04461759527209869,0.15985658448645124,0.7955258202414501,2,3.0,2
102,19.46,16.5,0.8985,6.1129999999999995,3.892,4.308,6.0089999999999995,0.01700787646680506,0.03746757685550527,0.9455245466776898,2,3.0,2
103,19.18,16.63,0.8717,6.369,3.681,3.3569999999999998,6.229,0.005120767881094164,0.012586283067384286,0.9822929490515215,2,3.0,2
104,18.95,16.42,0.8829,6.247999999999999,3.755,3.3680000000000003,6.148,0.0011793736898207882,0.003033651652362719,0.9957869746578165,2,3.0,2
105,18.83,16.29,0.8917,6.037000000000001,3.786,2.553,5.879,0.014022992650133542,0.040073805068337534,0.945903202281529,2,3.0,2
106,18.85,16.17,0.9056,6.152,3.806,2.843,6.2,0.007218448425527303,0.019983373950892346,0.9727981776235803,2,3.0,2
107,17.63,15.86,0.88,6.0329999999999995,3.573,3.747,5.928999999999999,0.032533867861348764,0.10387714762217325,0.8635889845164779,2,3.0,2
108,19.94,16.92,0.8752,6.675,3.763,3.252,6.55,0.02489754621869961,0.05511927593770445,0.9199831778435961,2,3.0,2
109,18.55,16.22,0.8865,6.153,3.674,1.7380000000000002,5.894,0.04090152716030691,0.12608092865958254,0.8330175441801105,2,3.0,2
110,18.45,16.12,0.8921,6.107,3.7689999999999997,2.235,5.794,0.026666199867808105,0.08394951538648955,0.8893842847457024,2,3.0,2
111,19.38,16.72,0.8716,6.303,3.7910000000000004,3.678,5.965,0.008592457760539242,0.020159468261503357,0.9712480739779575,2,3.0,2
112,19.13,16.31,0.9035,6.183,3.9019999999999997,2.109,5.9239999999999995,0.026575192463222787,0.07325603973191062,0.9001687678048665,2,3.0,2
113,19.14,16.61,0.8722,6.2589999999999995,3.737,6.682,6.053,0.10723270568473683,0.17543041135391893,0.7173368829613441,2,3.0,2
114,20.97,17.25,0.8859,6.563,3.991,4.677,6.316,0.060583189697781266,0.11227061892791107,0.8271461913743077,2,3.0,2
115,19.06,16.45,0.8854,6.416,3.719,2.248,6.162999999999999,0.02207326725904443,0.05985545659409316,0.9180712761468623,2,3.0,2
116,18.96,16.2,0.9077,6.051,3.897,4.334,5.75,0.014666799077365253,0.03444485626242373,0.950888344660211,2,3.0,2
117,19.15,16.45,0.889,6.245,3.815,3.0839999999999996,6.185,0.005253982376202425,0.013445657589870404,0.9813003600339272,2,3.0,2
118,18.89,16.23,0.9008,6.227,3.7689999999999997,3.639,5.966,0.0010185398661369807,0.0026142946671900325,0.996367165466673,2,3.0,2
119,20.03,16.9,0.8811,6.492999999999999,3.8569999999999998,3.063,6.32,0.024961638600364166,0.056125060964659954,0.918913300434976,2,3.0,2
120,20.24,16.91,0.8897,6.315,3.9619999999999997,5.901,6.188,0.07670193623581245,0.13346404865144018,0.7898340151127473,2,3.0,2
121,18.14,16.12,0.8772,6.059,3.563,3.6189999999999998,6.011,0.009131448900030079,0.026517071790430013,0.9643514793095399,2,3.0,2
122,16.17,15.38,0.8588,5.7620000000000005,3.387,4.2860000000000005,5.702999999999999,0.1324306635337123,0.5018959220274355,0.36567341443885226,2,2.0,1
123,18.43,15.97,0.9077,5.98,3.7710000000000004,2.984,5.905,0.009593591828167273,0.029126168404544545,0.9612802397672883,2,3.0,2
124,15.99,14.89,0.9064,5.3629999999999995,3.582,3.3360000000000003,5.144,0.09109081160826439,0.7325277014783453,0.17638148691339017,2,2.0,1
125,18.75,16.18,0.8999,6.111000000000001,3.8689999999999998,4.188,5.992000000000001,0.00911100808572495,0.02220302965957027,0.9686859622547047,2,3.0,2
126,18.65,16.41,0.8698,6.285,3.594,4.391,6.102,0.01419603261712053,0.033362108619312866,0.9524418587635666,2,3.0,2
127,17.98,15.85,0.8993,5.979,3.687,2.2569999999999997,5.919,0.03821990422169949,0.13566993916015932,0.8261101566181412,2,3.0,2
128,20.16,17.03,0.8735,6.513,3.773,1.91,6.185,0.046119582436230676,0.10698196921639971,0.8468984483473696,2,3.0,2
129,17.55,15.66,0.8991,5.791,3.69,5.3660000000000005,5.6610000000000005,0.09952356758046459,0.2187733486785454,0.68170308374099,2,3.0,2
130,18.3,15.89,0.9108,5.979,3.755,2.8369999999999997,5.962000000000001,0.01509778403927446,0.047792353602884335,0.9371098623578413,2,3.0,2
131,18.94,16.32,0.8942,6.144,3.825,2.908,5.949,0.006048651144440369,0.016474653223954163,0.9774766956316056,2,3.0,2
132,15.38,14.9,0.8706,5.8839999999999995,3.2680000000000002,4.462,5.795,0.1778827276939223,0.6297496750304009,0.1923675972756768,2,2.0,1
133,16.16,15.33,0.8644,5.845,3.395,4.266,5.795,0.13216530188520065,0.5029608846532992,0.36487381346150005,2,2.0,1
134,15.56,14.89,0.8823,5.776,3.408,4.9719999999999995,5.847,0.21440796317605584,0.535206101156109,0.2503859356678351,2,2.0,1
135,15.38,14.66,0.899,5.477,3.465,3.6,5.439,0.08451653531396669,0.8269518799047839,0.08853158478124948,2,2.0,1
136,17.36,15.76,0.8785,6.145,3.574,3.5260000000000002,5.971,0.045483789296005925,0.16091275981408706,0.793603450889907,2,3.0,2
137,15.57,15.15,0.8527,5.92,3.2310000000000003,2.64,5.879,0.07344260592740767,0.7945591760114776,0.13199821806111478,2,2.0,1
138,15.6,15.11,0.858,5.832000000000001,3.286,2.725,5.752000000000001,0.06864351276926942,0.8093097829163327,0.12204670431439785,2,2.0,1
139,16.23,15.18,0.885,5.872000000000001,3.472,3.7689999999999997,5.922000000000001,0.11126642021382663,0.5403331161062404,0.348400463679933,2,2.0,1
140,13.07,13.92,0.848,5.472,2.9939999999999998,5.303999999999999,5.395,0.7748003526646956,0.1838870478374459,0.04131259949785865,3,1.0,3
141,13.32,13.94,0.8613,5.541,3.073,7.035,5.44,0.6450883880927547,0.24855787757646441,0.10635373433078087,3,1.0,3
142,13.34,13.95,0.862,5.388999999999999,3.074,5.995,5.307,0.699260206846415,0.23114283840330657,0.06959695475027841,3,1.0,3
143,12.22,13.32,0.8652,5.224,2.967,5.468999999999999,5.221,0.9449414346345033,0.04377797172364097,0.01128059364185574,3,1.0,3
144,11.82,13.4,0.8274,5.314,2.7769999999999997,4.471,5.178,0.989526514052442,0.008689157331816232,0.0017843286157417273,3,1.0,3
145,11.21,13.13,0.8167,5.279,2.687,6.169,5.275,0.878185557433641,0.09116634008252636,0.03064810248383253,3,1.0,3
146,11.43,13.13,0.8335,5.176,2.719,2.221,5.132000000000001,0.6173158070157171,0.32374367356190076,0.05894051942238219,3,1.0,3
147,12.49,13.46,0.8658,5.267,2.967,4.421,5.002,0.9382998162249776,0.05272953248147754,0.008970651293544775,3,1.0,3
148,12.7,13.71,0.8491,5.386,2.911,3.26,5.316,0.5822414952128523,0.37888006748476977,0.038878437302377854,3,1.0,3
149,10.79,12.93,0.8107,5.317,2.648,5.462000000000001,5.194,0.9059652363989091,0.0719619963362621,0.022072767264828947,3,1.0,3
150,11.83,13.23,0.8496,5.263,2.84,5.195,5.307,0.9782385527588784,0.017387061054418028,0.004374386186703474,3,1.0,3
151,12.01,13.52,0.8249,5.405,2.7760000000000002,6.992000000000001,5.27,0.7814553069987646,0.1572040728911572,0.061340620110078244,3,1.0,3
152,12.26,13.6,0.8333,5.4079999999999995,2.833,4.756,5.36,0.9636421240716496,0.030238652535535822,0.006119223392814676,3,1.0,3
153,11.18,13.04,0.8266,5.22,2.693,3.332,5.001,0.8259675711163862,0.1444961161314826,0.029536312752131148,3,1.0,3
154,11.36,13.05,0.8382,5.175,2.755,4.048,5.263,0.9350289897271316,0.05344590929007295,0.011525100982795614,3,1.0,3
155,11.19,13.05,0.8253,5.25,2.675,5.813,5.218999999999999,0.9090815385139747,0.06921374325654406,0.02170471822948128,3,1.0,3
156,11.34,12.87,0.8596,5.053,2.8489999999999998,3.347,5.003,0.8289446941821592,0.14256344138611596,0.028491864431724856,3,1.0,3
157,12.13,13.73,0.8081,5.394,2.745,4.825,5.22,0.9662493838341425,0.027877924074073836,0.005872692091783782,3,1.0,3
158,11.75,13.52,0.8082,5.444,2.678,4.378,5.31,0.9684139260114776,0.02622626774686634,0.005359806241656079,3,1.0,3
159,11.49,13.22,0.8263,5.303999999999999,2.695,5.388,5.31,0.9545638130115641,0.035593363898357995,0.009842823090077921,3,1.0,3
160,12.54,13.67,0.8425,5.4510000000000005,2.8789999999999996,3.082,5.4910000000000005,0.5785579949273136,0.3793193587553537,0.042122646317332604,3,1.0,3
161,12.02,13.33,0.8503,5.35,2.81,4.271,5.308,0.9701226040033036,0.02515842887131706,0.00471896712537928,3,1.0,3
162,12.05,13.41,0.8416,5.267,2.847,4.988,5.046,0.9891837178654889,0.008823181854406554,0.0019931002801046463,3,1.0,3
163,12.55,13.57,0.8558,5.332999999999999,2.968,4.419,5.176,0.9181103648336782,0.07024585182710337,0.011643783339218287,3,1.0,3
164,11.14,12.79,0.8558,5.011,2.7939999999999996,6.388,5.0489999999999995,0.8538848237380293,0.10799496601306718,0.038120210248903365,3,1.0,3
165,12.1,13.15,0.8793,5.105,2.9410000000000003,2.201,5.056,0.5354530778332843,0.40600935378234326,0.05853756838437241,3,1.0,3
166,12.44,13.59,0.8462,5.319,2.897,4.9239999999999995,5.27,0.9495634343170811,0.04180141903743876,0.008635146645480153,3,1.0,3
167,12.15,13.45,0.8443,5.417000000000001,2.8369999999999997,3.638,5.337999999999999,0.8391538391492014,0.13971114371972532,0.021135017131073314,3,1.0,3
168,11.35,13.12,0.8291,5.176,2.668,4.337,5.132000000000001,0.9604644051059138,0.032239706167351556,0.00729588872673451,3,1.0,3
169,11.24,13.0,0.8359,5.09,2.715,3.5210000000000004,5.088,0.8583254432444545,0.11739796419330442,0.02427659256224105,3,1.0,3
170,11.02,13.0,0.8189,5.325,2.701,6.735,5.162999999999999,0.822350420640418,0.12894285313759107,0.048706726221990904,3,1.0,3
171,11.55,13.1,0.8455,5.167000000000001,2.845,6.715,4.956,0.8296048967701051,0.12467787824056879,0.045717224989326184,3,1.0,3
172,11.27,12.97,0.8419,5.088,2.763,4.309,5.0,0.9497592598919435,0.04082413360799781,0.009416606500058615,3,1.0,3
173,11.4,13.08,0.8375,5.136,2.763,5.587999999999999,5.0889999999999995,0.9381887824446078,0.047852925753677764,0.01395829180171436,3,1.0,3
174,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,0.9211406201828497,0.0611132468986976,0.017746132918452732,3,1.0,3
175,10.8,12.57,0.8590000000000001,4.981,2.821,4.773,5.063,0.9091809071507909,0.07106175931763965,0.019757333531569318,3,1.0,3
176,11.26,13.01,0.8355,5.186,2.71,5.335,5.092,0.9475989694933542,0.04088036351495058,0.01152066699169526,3,1.0,3
177,10.74,12.73,0.8329,5.145,2.642,4.702,4.963,0.9107770627507816,0.07000088361493678,0.019222053634281644,3,1.0,3
178,11.48,13.05,0.8473,5.18,2.758,5.876,5.002,0.9144863299929956,0.06535895633262861,0.02015471367437556,3,1.0,3
179,12.21,13.47,0.8453,5.357,2.8930000000000002,1.661,5.178,0.4207459336522028,0.5082589806312926,0.07099508571650465,3,2.0,1
180,11.41,12.95,0.856,5.09,2.775,4.957,4.825,0.9660311769510361,0.027053589767559904,0.00691523328140406,3,1.0,3
181,12.46,13.41,0.8706,5.236000000000001,3.017,4.987,5.147,0.9558763151319543,0.036415715291805296,0.007707969576240409,3,1.0,3
182,12.19,13.36,0.8579,5.24,2.909,4.857,5.1579999999999995,0.9886706517232636,0.00934072123936267,0.0019886270373737705,3,1.0,3
183,11.65,13.07,0.8575,5.1080000000000005,2.85,5.209,5.135,0.974273790795681,0.020419489345480046,0.005306719858838904,3,1.0,3
184,12.89,13.77,0.8541,5.495,3.0260000000000002,6.185,5.316,0.7727569835719924,0.1725640509770557,0.05467896545095181,3,1.0,3
185,11.56,13.31,0.8198,5.3629999999999995,2.6830000000000003,4.062,5.182,0.9456845114454081,0.04521430452323912,0.009101184031352714,3,1.0,3
186,11.81,13.45,0.8198,5.412999999999999,2.716,4.898,5.352,0.9831718408159249,0.013659675152553334,0.0031684840315217757,3,1.0,3
187,10.91,12.8,0.8372,5.088,2.675,4.178999999999999,4.956,0.9066297512575021,0.0749265015365224,0.018443747205975466,3,1.0,3
188,11.23,12.82,0.8594,5.0889999999999995,2.821,7.524,4.957,0.7556065987782536,0.17102779807109333,0.07336560315065287,3,1.0,3
189,10.59,12.41,0.8648,4.899,2.787,4.975,4.794,0.8803622654858622,0.09219247386556793,0.027445260648570044,3,1.0,3
190,10.93,12.8,0.8390000000000001,5.046,2.717,5.398,5.045,0.9161991773475892,0.06449059362824486,0.019310229024165976,3,1.0,3
191,11.27,12.86,0.8563,5.091,2.804,3.985,5.001,0.9184273715805743,0.06682585478193197,0.014746773637493764,3,1.0,3
192,11.87,13.02,0.8795,5.132000000000001,2.9530000000000003,3.597,5.132000000000001,0.8704185980965192,0.11037331460056345,0.019208087302917363,3,1.0,3
193,10.82,12.83,0.8256,5.18,2.63,4.853,5.0889999999999995,0.9227533072701107,0.06050880549128595,0.016737887238603165,3,1.0,3
194,12.11,13.27,0.8639,5.236000000000001,2.975,4.132,5.012,0.9539848499812121,0.03915098415422922,0.006864165864558499,3,1.0,3
195,12.8,13.47,0.8859999999999999,5.16,3.1260000000000003,4.873,4.914,0.8886418358397338,0.09346336107112047,0.017894803089145695,3,1.0,3
